# Descripiton: Distribuicao de Modulo de Distancia
# Domain: z in [0, 10]
# Units: z [adm.], mu [mag] 
# z,mu
0.1280000000,38.8220108805
0.1290000000,38.8393761025
0.1300000000,38.8566103119
0.1310000000,38.8737155097
0.1320000000,38.8906936511
0.1330000000,38.9075466473
0.1340000000,38.9242763664
0.1350000000,38.9408846348
0.1360000000,38.9573732386
0.1370000000,38.9737439246
0.1380000000,38.9899984016
0.1390000000,39.0061383413
0.1400000000,39.0221653795
0.1410000000,39.0380811171
0.1420000000,39.0538871211
0.1430000000,39.0695849255
0.1440000000,39.0851760322
0.1450000000,39.1006619120
0.1460000000,39.1160440054
0.1470000000,39.1313237233
0.1480000000,39.1465024482
0.1490000000,39.1615815343
0.1500000000,39.1765623089
0.1510000000,39.1914460729
0.1520000000,39.2062341013
0.1530000000,39.2209276440
0.1540000000,39.2355279267
0.1550000000,39.2500361511
0.1560000000,39.2644534958
0.1570000000,39.2787811170
0.1580000000,39.2930201487
0.1590000000,39.3071717033
0.1600000000,39.3212368727
0.1610000000,39.3352167281
0.1620000000,39.3491123209
0.1630000000,39.3629246831
0.1640000000,39.3766548278
0.1650000000,39.3903037496
0.1660000000,39.4038724252
0.1670000000,39.4173618135
0.1680000000,39.4307728564
0.1690000000,39.4441064790
0.1700000000,39.4573635902
0.1710000000,39.4705450825
0.1720000000,39.4836518333
0.1730000000,39.4966847044
0.1740000000,39.5096445429
0.1750000000,39.5225321812
0.1760000000,39.5353484376
0.1770000000,39.5480941165
0.1780000000,39.5607700087
0.1790000000,39.5733768917
0.1800000000,39.5859155301
0.1810000000,39.5983866755
0.1820000000,39.6107910676
0.1830000000,39.6231294335
0.1840000000,39.6354024886
0.1850000000,39.6476109368
0.1860000000,39.6597554703
0.1870000000,39.6718367706
0.1880000000,39.6838555081
0.1890000000,39.6958123423
0.1900000000,39.7077079227
0.1910000000,39.7195428883
0.1920000000,39.7313178682
0.1930000000,39.7430334817
0.1940000000,39.7546903386
0.1950000000,39.7662890390
0.1960000000,39.7778301742
0.1970000000,39.7893143262
0.1980000000,39.8007420683
0.1990000000,39.8121139650
0.2000000000,39.8234305726
0.2010000000,39.8346924388
0.2020000000,39.8459001034
0.2030000000,39.8570540979
0.2040000000,39.8681549463
0.2050000000,39.8792031647
0.2060000000,39.8901992619
0.2070000000,39.9011437390
0.2080000000,39.9120370901
0.2090000000,39.9228798022
0.2100000000,39.9336723552
0.2110000000,39.9444152223
0.2120000000,39.9551088700
0.2130000000,39.9657537581
0.2140000000,39.9763503399
0.2150000000,39.9868990627
0.2160000000,39.9974003673
0.2170000000,40.0078546884
0.2180000000,40.0182624548
0.2190000000,40.0286240895
0.2200000000,40.0389400095
0.2210000000,40.0492106264
0.2220000000,40.0594363460
0.2230000000,40.0696175687
0.2240000000,40.0797546897
