# Descripiton: Distribuicao de Modulo de Distancia
# Domain: z in [0, 10]
# Units: z [adm.], mu [mag] 
# z,mu
0.0690000000,37.4992505229
0.0700000000,37.5316150672
0.0710000000,37.5635339973
0.0720000000,37.5950197169
0.0730000000,37.6260841169
0.0740000000,37.6567386029
0.0750000000,37.6869941216
0.0760000000,37.7168611848
0.0770000000,37.7463498922
0.0780000000,37.7754699528
0.0790000000,37.8042307048
0.0800000000,37.8326411341
0.0810000000,37.8607098921
0.0820000000,37.8884453117
0.0830000000,37.9158554231
0.0840000000,37.9429479681
0.0850000000,37.9697304138
0.0860000000,37.9962099657
0.0870000000,38.0223935793
0.0880000000,38.0482879720
0.0890000000,38.0738996334
0.0900000000,38.0992348361
0.0910000000,38.1242996446
0.0920000000,38.1490999250
0.0930000000,38.1736413530
0.0940000000,38.1979294228
0.0950000000,38.2219694539
0.0960000000,38.2457665990
0.0970000000,38.2693258510
0.0980000000,38.2926520489
0.0990000000,38.3157498849
0.1000000000,38.3386239095
0.1010000000,38.3612785379
0.1020000000,38.3837180546
0.1030000000,38.4059466190
0.1040000000,38.4279682700
0.1050000000,38.4497869310
0.1060000000,38.4714064134
0.1070000000,38.4928304220
0.1080000000,38.5140625579
0.1090000000,38.5351063230
0.1100000000,38.5559651233
0.1110000000,38.5766422724
0.1120000000,38.5971409950
0.1130000000,38.6174644299
0.1140000000,38.6376156331
0.1150000000,38.6575975805
0.1160000000,38.6774131710
0.1170000000,38.6970652289
0.1180000000,38.7165565066
0.1190000000,38.7358896867
0.1200000000,38.7550673849
0.1210000000,38.7740921517
0.1220000000,38.7929664746
0.1230000000,38.8116927807
0.1240000000,38.8302734380
0.1250000000,38.8487107575
0.1260000000,38.8670069951
0.1270000000,38.8851643535
0.1280000000,38.9031849835
0.1290000000,38.9210709858
0.1300000000,38.9388244126
0.1310000000,38.9564472689
0.1320000000,38.9739415144
0.1330000000,38.9913090642
0.1340000000,39.0085517905
0.1350000000,39.0256715239
0.1360000000,39.0426700548
0.1370000000,39.0595491339
0.1380000000,39.0763104741
0.1390000000,39.0929557512
0.1400000000,39.1094866052
0.1410000000,39.1259046410
0.1420000000,39.1422114296
0.1430000000,39.1584085091
0.1440000000,39.1744973854
0.1450000000,39.1904795334
0.1460000000,39.2063563976
0.1470000000,39.2221293929
0.1480000000,39.2377999058
0.1490000000,39.2533692945
0.1500000000,39.2688388903
0.1510000000,39.2842099981
0.1520000000,39.2994838967
0.1530000000,39.3146618401
0.1540000000,39.3297450579
0.1550000000,39.3447347558
0.1560000000,39.3596321164
0.1570000000,39.3744382995
0.1580000000,39.3891544432
0.1590000000,39.4037816639
0.1600000000,39.4183210572
0.1610000000,39.4327736983
0.1620000000,39.4471406424
