# Descripiton: Distribuicao de Modulo de Distancia
# Domain: z in [0, 10]
# Units: z [adm.], mu [mag] 
# z,mu
0.0010000000,28.2237293385
0.0020000000,29.7310475371
0.0030000000,30.6136698898
0.0040000000,31.2405274718
0.0050000000,31.7272392816
0.0060000000,32.1253051066
0.0070000000,32.4621965039
0.0080000000,32.7543115466
0.0090000000,33.0122273295
0.0100000000,33.2431658200
0.0110000000,33.4522781549
0.0120000000,33.6433677439
0.0130000000,33.8193229394
0.0140000000,33.9823889045
0.0150000000,34.1343454576
0.0160000000,34.2766274041
0.0170000000,34.4104083226
0.0180000000,34.5366603666
0.0190000000,34.6561978759
0.0200000000,34.7697097882
0.0210000000,34.8777841352
0.0220000000,34.9809268342
0.0230000000,35.0795762998
0.0240000000,35.1741149429
0.0250000000,35.2648783214
0.0260000000,35.3521624948
0.0270000000,35.4362299899
0.0280000000,35.5173146811
0.0290000000,35.5956258144
0.0300000000,35.6713513482
0.0310000000,35.7446607467
0.0320000000,35.8157073292
0.0330000000,35.8846302581
0.0340000000,35.9515562301
0.0350000000,36.0166009218
0.0360000000,36.0798702320
0.0370000000,36.1414613534
0.0380000000,36.2014637018
0.0390000000,36.2599597240
0.0400000000,36.3170256042
0.0410000000,36.3727318823
0.0420000000,36.4271439979
0.0430000000,36.4803227711
0.0440000000,36.5323248269
0.0450000000,36.5832029722
0.0460000000,36.6330065322
0.0470000000,36.6817816492
0.0480000000,36.7295715512
0.0490000000,36.7764167922
0.0500000000,36.8223554681
0.0510000000,36.8674234117
0.0520000000,36.9116543684
0.0530000000,36.9550801550
0.0540000000,36.9977308046
0.0550000000,37.0396346967
0.0560000000,37.0808186771
0.0570000000,37.1213081660
0.0580000000,37.1611272574
0.0590000000,37.2002988099
0.0600000000,37.2388445294
0.0610000000,37.2767850457
0.0620000000,37.3141399823
0.0630000000,37.3509280210
0.0640000000,37.3871669608
0.0650000000,37.4228737732
0.0660000000,37.4580646523
0.0670000000,37.4927550617
0.0680000000,37.5269597781
0.0690000000,37.5606929308
0.0700000000,37.5939680396
0.0710000000,37.6267980489
0.0720000000,37.6591953600
0.0730000000,37.6911718615
0.0740000000,37.7227389566
0.0750000000,37.7539075893
0.0760000000,37.7846882692
0.0770000000,37.8150910935
0.0780000000,37.8451257688
0.0790000000,37.8748016310
0.0800000000,37.9041276635
0.0810000000,37.9331125153
0.0820000000,37.9617645169
0.0830000000,37.9900916961
0.0840000000,38.0181017924
0.0850000000,38.0458022706
0.0860000000,38.0732003336
0.0870000000,38.1003029346
0.0880000000,38.1271167887
0.0890000000,38.1536483831
0.0900000000,38.1799039880
0.0910000000,38.2058896657
0.0920000000,38.2316112797
0.0930000000,38.2570745036
0.0940000000,38.2822848291
0.0950000000,38.3072475734
0.0960000000,38.3319678870
0.0970000000,38.3564507603
0.0980000000,38.3807010301
0.0990000000,38.4047233862
0.1000000000,38.4285223769
0.1010000000,38.4521024149
0.1020000000,38.4754677825
0.1030000000,38.4986226368
0.1040000000,38.5215710146
0.1050000000,38.5443168366
0.1060000000,38.5668639123
0.1070000000,38.5892159439
0.1080000000,38.6113765305
0.1090000000,38.6333491716
0.1100000000,38.6551372708
0.1110000000,38.6767441397
0.1120000000,38.6981730007
0.1130000000,38.7194269902
0.1140000000,38.7405091620
0.1150000000,38.7614224898
0.1160000000,38.7821698703
0.1170000000,38.8027541254
0.1180000000,38.8231780054
0.1190000000,38.8434441907
0.1200000000,38.8635552947
0.1210000000,38.8835138657
0.1220000000,38.9033223891
0.1230000000,38.9229832896
0.1240000000,38.9424989331
0.1250000000,38.9618716284
0.1260000000,38.9811036293
0.1270000000,39.0001971361
0.1280000000,39.0191542976
0.1290000000,39.0379772122
0.1300000000,39.0566679301
0.1310000000,39.0752284540
0.1320000000,39.0936607414
0.1330000000,39.1119667053
0.1340000000,39.1301482157
0.1350000000,39.1482071012
0.1360000000,39.1661451498
0.1370000000,39.1839641103
0.1380000000,39.2016656934
0.1390000000,39.2192515728
0.1400000000,39.2367233862
0.1410000000,39.2540827365
0.1420000000,39.2713311926
0.1430000000,39.2884702904
0.1440000000,39.3055015339
0.1450000000,39.3224263957
0.1460000000,39.3392463182
0.1470000000,39.3559627144
0.1480000000,39.3725769684
0.1490000000,39.3890904366
0.1500000000,39.4055044482
0.1510000000,39.4218203057
0.1520000000,39.4380392863
0.1530000000,39.4541626417
0.1540000000,39.4701915994
0.1550000000,39.4861273631
0.1560000000,39.5019711133
0.1570000000,39.5177240079
0.1580000000,39.5333871828
0.1590000000,39.5489617525
0.1600000000,39.5644488105
0.1610000000,39.5798494300
0.1620000000,39.5951646641
0.1630000000,39.6103955468
0.1640000000,39.6255430929
0.1650000000,39.6406082990
0.1660000000,39.6555921434
0.1670000000,39.6704955871
0.1680000000,39.6853195736
0.1690000000,39.7000650300
0.1700000000,39.7147328667
0.1710000000,39.7293239784
0.1720000000,39.7438392441
0.1730000000,39.7582795273
0.1740000000,39.7726456771
0.1750000000,39.7869385276
0.1760000000,39.8011588989
0.1770000000,39.8153075971
0.1780000000,39.8293854149
0.1790000000,39.8433931315
0.1800000000,39.8573315132
0.1810000000,39.8712013135
0.1820000000,39.8850032738
0.1830000000,39.8987381229
0.1840000000,39.9124065781
0.1850000000,39.9260093449
0.1860000000,39.9395471173
0.1870000000,39.9530205786
0.1880000000,39.9664304007
0.1890000000,39.9797772451
0.1900000000,39.9930617628
0.1910000000,40.0062845948
