# Descripiton: Distribuicao de Modulo de Distancia
# Domain: z in [0, 10]
# Units: z [adm.], mu [mag] 
# z,mu
0.0830000000,37.9464669817
0.0840000000,37.9739394699
0.0850000000,38.0011020718
0.0860000000,38.0279619909
0.0870000000,38.0545261811
0.0880000000,38.0808013579
0.0890000000,38.1067940094
0.0900000000,38.1325104062
0.0910000000,38.1579566113
0.0920000000,38.1831384889
0.0930000000,38.2080617132
0.0940000000,38.2327317765
0.0950000000,38.2571539966
0.0960000000,38.2813335246
0.0970000000,38.3052753516
0.0980000000,38.3289843151
0.0990000000,38.3524651053
0.1000000000,38.3757222712
0.1010000000,38.3987602263
0.1020000000,38.4215832534
0.1030000000,38.4441955102
0.1040000000,38.4666010340
0.1050000000,38.4888037464
0.1060000000,38.5108074574
0.1070000000,38.5326158699
0.1080000000,38.5542325835
0.1090000000,38.5756610982
0.1100000000,38.5969048187
0.1110000000,38.6179670567
0.1120000000,38.6388510355
0.1130000000,38.6595598920
0.1140000000,38.6800966808
0.1150000000,38.7004643760
0.1160000000,38.7206658751
0.1170000000,38.7407040006
0.1180000000,38.7605815033
0.1190000000,38.7803010644
0.1200000000,38.7998652977
0.1210000000,38.8192767523
0.1220000000,38.8385379142
0.1230000000,38.8576512088
0.1240000000,38.8766190023
0.1250000000,38.8954436045
0.1260000000,38.9141272696
0.1270000000,38.9326721986
0.1280000000,38.9510805409
0.1290000000,38.9693543955
0.1300000000,38.9874958132
0.1310000000,39.0055067975
0.1320000000,39.0233893063
0.1330000000,39.0411452533
0.1340000000,39.0587765092
0.1350000000,39.0762849031
0.1360000000,39.0936722237
0.1370000000,39.1109402203
0.1380000000,39.1280906044
0.1390000000,39.1451250501
0.1400000000,39.1620451959
0.1410000000,39.1788526453
0.1420000000,39.1955489678
0.1430000000,39.2121356998
0.1440000000,39.2286143461
0.1450000000,39.2449863798
0.1460000000,39.2612532440
0.1470000000,39.2774163522
0.1480000000,39.2934770892
0.1490000000,39.3094368120
0.1500000000,39.3252968504
0.1510000000,39.3410585076
0.1520000000,39.3567230613
0.1530000000,39.3722917639
0.1540000000,39.3877658434
0.1550000000,39.4031465043
0.1560000000,39.4184349276
0.1570000000,39.4336322717
0.1580000000,39.4487396734
0.1590000000,39.4637582475
0.1600000000,39.4786890884
0.1610000000,39.4935332696
0.1620000000,39.5082918451
0.1630000000,39.5229658494
0.1640000000,39.5375562980
0.1650000000,39.5520641879
0.1660000000,39.5664904982
0.1670000000,39.5808361904
0.1680000000,39.5951022087
0.1690000000,39.6092894808
0.1700000000,39.6233989177
0.1710000000,39.6374314146
0.1720000000,39.6513878512
0.1730000000,39.6652690917
0.1740000000,39.6790759856
0.1750000000,39.6928093678
0.1760000000,39.7064700589
0.1770000000,39.7200588657
0.1780000000,39.7335765814
0.1790000000,39.7470239859
0.1800000000,39.7604018460
0.1810000000,39.7737109160
0.1820000000,39.7869519376
0.1830000000,39.8001256405
0.1840000000,39.8132327425
