# Descripiton: Distribuicao de Modulo de Distancia
# Domain: z in [0, 10]
# Units: z [adm.], mu [mag] 
# z,mu
0.1010000000,38.3891567783
0.1020000000,38.4125221460
0.1030000000,38.4356770003
0.1040000000,38.4586253780
0.1050000000,38.4813712000
0.1060000000,38.5039182757
0.1070000000,38.5262703074
0.1080000000,38.5484308940
0.1090000000,38.5704035350
0.1100000000,38.5921916343
0.1110000000,38.6137985032
0.1120000000,38.6352273641
0.1130000000,38.6564813537
0.1140000000,38.6775635254
0.1150000000,38.6984768533
0.1160000000,38.7192242337
0.1170000000,38.7398084889
0.1180000000,38.7602323689
0.1190000000,38.7804985542
0.1200000000,38.8006096582
0.1210000000,38.8205682291
0.1220000000,38.8403767525
0.1230000000,38.8600376531
0.1240000000,38.8795532965
0.1250000000,38.8989259918
0.1260000000,38.9181579927
0.1270000000,38.9372514996
0.1280000000,38.9562086610
0.1290000000,38.9750315757
0.1300000000,38.9937222935
0.1310000000,39.0122828175
0.1320000000,39.0307151049
0.1330000000,39.0490210687
0.1340000000,39.0672025792
0.1350000000,39.0852614647
0.1360000000,39.1031995133
0.1370000000,39.1210184738
0.1380000000,39.1387200569
0.1390000000,39.1563059362
0.1400000000,39.1737777496
0.1410000000,39.1911370999
0.1420000000,39.2083855560
0.1430000000,39.2255246539
0.1440000000,39.2425558973
0.1450000000,39.2594807591
0.1460000000,39.2763006816
0.1470000000,39.2930170778
0.1480000000,39.3096313319
0.1490000000,39.3261448001
0.1500000000,39.3425588116
0.1510000000,39.3588746692
0.1520000000,39.3750936497
0.1530000000,39.3912170051
0.1540000000,39.4072459628
0.1550000000,39.4231817266
0.1560000000,39.4390254768
0.1570000000,39.4547783714
0.1580000000,39.4704415463
0.1590000000,39.4860161160
0.1600000000,39.5015031740
0.1610000000,39.5169037934
0.1620000000,39.5322190276
0.1630000000,39.5474499102
0.1640000000,39.5625974564
0.1650000000,39.5776626624
0.1660000000,39.5926465069
0.1670000000,39.6075499505
0.1680000000,39.6223739371
0.1690000000,39.6371193934
0.1700000000,39.6517872302
0.1710000000,39.6663783419
0.1720000000,39.6808936075
0.1730000000,39.6953338908
0.1740000000,39.7097000405
0.1750000000,39.7239928910
0.1760000000,39.7382132623
0.1770000000,39.7523619606
0.1780000000,39.7664397784
0.1790000000,39.7804474949
0.1800000000,39.7943858766
0.1810000000,39.8082556770
0.1820000000,39.8220576372
0.1830000000,39.8357924864
0.1840000000,39.8494609416
0.1850000000,39.8630637083
0.1860000000,39.8766014808
0.1870000000,39.8900749420
0.1880000000,39.9034847641
0.1890000000,39.9168316085
0.1900000000,39.9301161263
0.1910000000,39.9433389582
0.1920000000,39.9565007351
0.1930000000,39.9696020780
0.1940000000,39.9826435982
0.1950000000,39.9956258978
0.1960000000,40.0085495696
0.1970000000,40.0214151974
0.1980000000,40.0342233561
0.1990000000,40.0469746121
0.2000000000,40.0596695231
0.2010000000,40.0723086387
0.2020000000,40.0848925001
0.2030000000,40.0974216408
0.2040000000,40.1098965863
0.2050000000,40.1223178544
0.2060000000,40.1346859554
0.2070000000,40.1470013923
0.2080000000,40.1592646608
0.2090000000,40.1714762494
0.2100000000,40.1836366398
0.2110000000,40.1957463068
0.2120000000,40.2078057184
0.2130000000,40.2198153361
0.2140000000,40.2317756150
0.2150000000,40.2436870038
0.2160000000,40.2555499450
0.2170000000,40.2673648750
0.2180000000,40.2791322241
0.2190000000,40.2908524169
0.2200000000,40.3025258721
0.2210000000,40.3141530027
0.2220000000,40.3257342164
0.2230000000,40.3372699150
0.2240000000,40.3487604953
0.2250000000,40.3602063486
0.2260000000,40.3716078612
0.2270000000,40.3829654142
0.2280000000,40.3942793836
0.2290000000,40.4055501407
0.2300000000,40.4167780519
0.2310000000,40.4279634787
0.2320000000,40.4391067782
0.2330000000,40.4502083027
0.2340000000,40.4612684001
0.2350000000,40.4722874139
0.2360000000,40.4832656832
0.2370000000,40.4942035428
0.2380000000,40.5051013233
0.2390000000,40.5159593512
0.2400000000,40.5267779489
0.2410000000,40.5375574349
0.2420000000,40.5482981237
0.2430000000,40.5590003258
0.2440000000,40.5696643480
0.2450000000,40.5802904935
0.2460000000,40.5908790617
0.2470000000,40.6014303483
0.2480000000,40.6119446454
0.2490000000,40.6224222419
0.2500000000,40.6328634230
0.2510000000,40.6432684704
0.2520000000,40.6536376628
0.2530000000,40.6639712754
0.2540000000,40.6742695801
0.2550000000,40.6845328458
0.2560000000,40.6947613381
0.2570000000,40.7049553197
0.2580000000,40.7151150499
0.2590000000,40.7252407855
0.2600000000,40.7353327800
0.2610000000,40.7453912841
0.2620000000,40.7554165457
0.2630000000,40.7654088098
0.2640000000,40.7753683186
0.2650000000,40.7852953118
0.2660000000,40.7951900261
0.2670000000,40.8050526958
0.2680000000,40.8148835524
0.2690000000,40.8246828251
0.2700000000,40.8344507401
0.2710000000,40.8441875217
0.2720000000,40.8538933913
0.2730000000,40.8635685680
0.2740000000,40.8732132687
0.2750000000,40.8828277076
0.2760000000,40.8924120968
0.2770000000,40.9019666462
0.2780000000,40.9114915633
0.2790000000,40.9209870533
0.2800000000,40.9304533195
0.2810000000,40.9398905628
0.2820000000,40.9492989821
0.2830000000,40.9586787741
0.2840000000,40.9680301335
0.2850000000,40.9773532529
0.2860000000,40.9866483232
0.2870000000,40.9959155328
0.2880000000,41.0051550685
