# Descripiton: Distribuicao de Modulo de Distancia
# Domain: z in [0, 10]
# Units: z [adm.], mu [mag] 
# z,mu
0.1230000000,38.8322055180
0.1240000000,38.8510048664
0.1250000000,38.8696616096
0.1260000000,38.8881780014
0.1270000000,38.9065562418
0.1280000000,38.9247984793
0.1290000000,38.9429068124
0.1300000000,38.9608832907
0.1310000000,38.9787299172
0.1320000000,38.9964486488
0.1330000000,39.0140413984
0.1340000000,39.0315100360
0.1350000000,39.0488563899
0.1360000000,39.0660822478
0.1370000000,39.0831893583
0.1380000000,39.1001794321
0.1390000000,39.1170541426
0.1400000000,39.1338151272
0.1410000000,39.1504639888
0.1420000000,39.1670022960
0.1430000000,39.1834315846
0.1440000000,39.1997533582
0.1450000000,39.2159690894
0.1460000000,39.2320802204
0.1470000000,39.2480881638
0.1480000000,39.2639943037
0.1490000000,39.2797999963
0.1500000000,39.2955065704
0.1510000000,39.3111153286
0.1520000000,39.3266275477
0.1530000000,39.3420444792
0.1540000000,39.3573673506
0.1550000000,39.3725973652
0.1560000000,39.3877357033
0.1570000000,39.4027835228
0.1580000000,39.4177419592
0.1590000000,39.4326121268
0.1600000000,39.4473951190
0.1610000000,39.4620920088
0.1620000000,39.4767038491
0.1630000000,39.4912316736
0.1640000000,39.5056764970
0.1650000000,39.5200393157
0.1660000000,39.5343211078
0.1670000000,39.5485228339
0.1680000000,39.5626454377
0.1690000000,39.5766898457
0.1700000000,39.5906569684
0.1710000000,39.6045477001
0.1720000000,39.6183629196
0.1730000000,39.6321034904
0.1740000000,39.6457702612
0.1750000000,39.6593640660
0.1760000000,39.6728857246
0.1770000000,39.6863360430
0.1780000000,39.6997158137
0.1790000000,39.7130258155
0.1800000000,39.7262668147
0.1810000000,39.7394395647
0.1820000000,39.7525448064
0.1830000000,39.7655832686
0.1840000000,39.7785556683
0.1850000000,39.7914627108
0.1860000000,39.8043050901
0.1870000000,39.8170834889
0.1880000000,39.8297985792
0.1890000000,39.8424510222
0.1900000000,39.8550414689
0.1910000000,39.8675705596
0.1920000000,39.8800389252
0.1930000000,39.8924471863
0.1940000000,39.9047959542
0.1950000000,39.9170858306
0.1960000000,39.9293174082
0.1970000000,39.9414912706
0.1980000000,39.9536079925
0.1990000000,39.9656681400
0.2000000000,39.9776722707
0.2010000000,39.9896209339
0.2020000000,40.0015146707
0.2030000000,40.0133540143
0.2040000000,40.0251394901
0.2050000000,40.0368716155
0.2060000000,40.0485509009
0.2070000000,40.0601778488
0.2080000000,40.0717529547
0.2090000000,40.0832767072
0.2100000000,40.0947495874
0.2110000000,40.1061720702
0.2120000000,40.1175446232
0.2130000000,40.1288677078
0.2140000000,40.1401417789
0.2150000000,40.1513672849
0.2160000000,40.1625446682
0.2170000000,40.1736743648
0.2180000000,40.1847568051
0.2190000000,40.1957924132
0.2200000000,40.2067816077
0.2210000000,40.2177248015
0.2220000000,40.2286224019
0.2230000000,40.2394748106
0.2240000000,40.2502824242
0.2250000000,40.2610456337
0.2260000000,40.2717648253
0.2270000000,40.2824403798
0.2280000000,40.2930726731
0.2290000000,40.3036620762
0.2300000000,40.3142089552
0.2310000000,40.3247136717
0.2320000000,40.3351765822
0.2330000000,40.3455980391
0.2340000000,40.3559783900
0.2350000000,40.3663179781
0.2360000000,40.3766171423
0.2370000000,40.3868762173
0.2380000000,40.3970955335
0.2390000000,40.4072754170
0.2400000000,40.4174161903
0.2410000000,40.4275181713
0.2420000000,40.4375816745
0.2430000000,40.4476070102
0.2440000000,40.4575944851
0.2450000000,40.4675444020
0.2460000000,40.4774570600
0.2470000000,40.4873327548
0.2480000000,40.4971717783
0.2490000000,40.5069744190
0.2500000000,40.5167409620
0.2510000000,40.5264716889
0.2520000000,40.5361668781
0.2530000000,40.5458268044
0.2540000000,40.5554517397
0.2550000000,40.5650419527
0.2560000000,40.5745977087
0.2570000000,40.5841192701
0.2580000000,40.5936068963
0.2590000000,40.6030608435
0.2600000000,40.6124813653
0.2610000000,40.6218687121
0.2620000000,40.6312231314
0.2630000000,40.6405448682
0.2640000000,40.6498341645
0.2650000000,40.6590912597
0.2660000000,40.6683163903
0.2670000000,40.6775097903
0.2680000000,40.6866716912
0.2690000000,40.6958023217
0.2700000000,40.7049019081
0.2710000000,40.7139706743
0.2720000000,40.7230088415
0.2730000000,40.7320166286
0.2740000000,40.7409942523
0.2750000000,40.7499419266
0.2760000000,40.7588598634
0.2770000000,40.7677482724
0.2780000000,40.7766073607
0.2790000000,40.7854373336
0.2800000000,40.7942383939
0.2810000000,40.8030107425
0.2820000000,40.8117545779
0.2830000000,40.8204700967
0.2840000000,40.8291574934
0.2850000000,40.8378169604
0.2860000000,40.8464486882
0.2870000000,40.8550528652
0.2880000000,40.8636296780
0.2890000000,40.8721793110
0.2900000000,40.8807019471
0.2910000000,40.8891977669
0.2920000000,40.8976669495
0.2930000000,40.9061096721
0.2940000000,40.9145261098
0.2950000000,40.9229164364
0.2960000000,40.9312808236
0.2970000000,40.9396194416
0.2980000000,40.9479324587
0.2990000000,40.9562200416
0.3000000000,40.9644823555
0.3010000000,40.9727195637
0.3020000000,40.9809318280
0.3030000000,40.9891193087
0.3040000000,40.9972821644
0.3050000000,41.0054205522
0.3060000000,41.0135346277
0.3070000000,41.0216245449
0.3080000000,41.0296904565
0.3090000000,41.0377325134
0.3100000000,41.0457508654
0.3110000000,41.0537456607
0.3120000000,41.0617170460
0.3130000000,41.0696651667
0.3140000000,41.0775901669
0.3150000000,41.0854921893
0.3160000000,41.0933713751
0.3170000000,41.1012278643
0.3180000000,41.1090617956
0.3190000000,41.1168733063
0.3200000000,41.1246625327
0.3210000000,41.1324296094
0.3220000000,41.1401746702
0.3230000000,41.1478978473
0.3240000000,41.1555992720
0.3250000000,41.1632790740
0.3260000000,41.1709373823
0.3270000000,41.1785743244
0.3280000000,41.1861900266
0.3290000000,41.1937846144
0.3300000000,41.2013582118
0.3310000000,41.2089109419
0.3320000000,41.2164429266
0.3330000000,41.2239542868
0.3340000000,41.2314451422
0.3350000000,41.2389156115
0.3360000000,41.2463658124
0.3370000000,41.2537958615
0.3380000000,41.2612058744
0.3390000000,41.2685959656
0.3400000000,41.2759662487
0.3410000000,41.2833168364
0.3420000000,41.2906478401
0.3430000000,41.2979593706
0.3440000000,41.3052515375
0.3450000000,41.3125244495
0.3460000000,41.3197782145
0.3470000000,41.3270129393
0.3480000000,41.3342287299
0.3490000000,41.3414256913
0.3500000000,41.3486039277
0.3510000000,41.3557635424
0.3520000000,41.3629046377
0.3530000000,41.3700273154
0.3540000000,41.3771316759
0.3550000000,41.3842178193
0.3560000000,41.3912858444
0.3570000000,41.3983358496
0.3580000000,41.4053679322
0.3590000000,41.4123821887
0.3600000000,41.4193787150
0.3610000000,41.4263576060
0.3620000000,41.4333189559
0.3630000000,41.4402628583
0.3640000000,41.4471894056
0.3650000000,41.4540986900
0.3660000000,41.4609908025
0.3670000000,41.4678658336
0.3680000000,41.4747238730
0.3690000000,41.4815650098
0.3700000000,41.4883893320
0.3710000000,41.4951969274
0.3720000000,41.5019878829
0.3730000000,41.5087622844
0.3740000000,41.5155202177
0.3750000000,41.5222617674
0.3760000000,41.5289870178
0.3770000000,41.5356960523
0.3780000000,41.5423889537
0.3790000000,41.5490658043
0.3800000000,41.5557266855
0.3810000000,41.5623716782
0.3820000000,41.5690008628
0.3830000000,41.5756143189
0.3840000000,41.5822121256
0.3850000000,41.5887943611
0.3860000000,41.5953611035
0.3870000000,41.6019124299
0.3880000000,41.6084484169
0.3890000000,41.6149691406
0.3900000000,41.6214746765
0.3910000000,41.6279650995
0.3920000000,41.6344404840
0.3930000000,41.6409009036
0.3940000000,41.6473464316
0.3950000000,41.6537771407
0.3960000000,41.6601931030
0.3970000000,41.6665943902
0.3980000000,41.6729810731
0.3990000000,41.6793532225
0.4000000000,41.6857109083
0.4010000000,41.6920541999
0.4020000000,41.6983831665
0.4030000000,41.7046978763
0.4040000000,41.7109983974
0.4050000000,41.7172847973
0.4060000000,41.7235571429
0.4070000000,41.7298155007
0.4080000000,41.7360599368
0.4090000000,41.7422905166
0.4100000000,41.7485073052
0.4110000000,41.7547103672
0.4120000000,41.7608997668
0.4130000000,41.7670755675
0.4140000000,41.7732378326
0.4150000000,41.7793866248
0.4160000000,41.7855220065
0.4170000000,41.7916440395
0.4180000000,41.7977527852
0.4190000000,41.8038483047
0.4200000000,41.8099306585
0.4210000000,41.8159999067
0.4220000000,41.8220561090
0.4230000000,41.8280993248
0.4240000000,41.8341296130
0.4250000000,41.8401470319
0.4260000000,41.8461516398
0.4270000000,41.8521434941
0.4280000000,41.8581226523
0.4290000000,41.8640891711
0.4300000000,41.8700431071
0.4310000000,41.8759845164
0.4320000000,41.8819134546
0.4330000000,41.8878299771
0.4340000000,41.8937341389
0.4350000000,41.8996259945
0.4360000000,41.9055055981
0.4370000000,41.9113730035
0.4380000000,41.9172282643
0.4390000000,41.9230714336
0.4400000000,41.9289025640
0.4410000000,41.9347217081
0.4420000000,41.9405289179
0.4430000000,41.9463242450
0.4440000000,41.9521077409
0.4450000000,41.9578794566
0.4460000000,41.9636394427
0.4470000000,41.9693877496
0.4480000000,41.9751244273
0.4490000000,41.9808495256
0.4500000000,41.9865630937
0.4510000000,41.9922651807
0.4520000000,41.9979558353
0.4530000000,42.0036351060
0.4540000000,42.0093030407
0.4550000000,42.0149596874
0.4560000000,42.0206050934
0.4570000000,42.0262393058
0.4580000000,42.0318623716
0.4590000000,42.0374743374
0.4600000000,42.0430752492
0.4610000000,42.0486651532
0.4620000000,42.0542440949
0.4630000000,42.0598121198
0.4640000000,42.0653692728
0.4650000000,42.0709155989
0.4660000000,42.0764511425
0.4670000000,42.0819759479
0.4680000000,42.0874900589
0.4690000000,42.0929935193
0.4700000000,42.0984863725
0.4710000000,42.1039686616
0.4720000000,42.1094404295
0.4730000000,42.1149017187
0.4740000000,42.1203525716
0.4750000000,42.1257930302
0.4760000000,42.1312231364
0.4770000000,42.1366429316
0.4780000000,42.1420524572
0.4790000000,42.1474517543
0.4800000000,42.1528408635
0.4810000000,42.1582198254
0.4820000000,42.1635886803
0.4830000000,42.1689474682
0.4840000000,42.1742962289
0.4850000000,42.1796350021
0.4860000000,42.1849638269
0.4870000000,42.1902827424
0.4880000000,42.1955917875
0.4890000000,42.2008910009
0.4900000000,42.2061804208
0.4910000000,42.2114600853
0.4920000000,42.2167300325
0.4930000000,42.2219903000
0.4940000000,42.2272409253
0.4950000000,42.2324819455
0.4960000000,42.2377133977
0.4970000000,42.2429353187
0.4980000000,42.2481477451
0.4990000000,42.2533507132
0.5000000000,42.2585442592
0.5010000000,42.2637284190
0.5020000000,42.2689032284
0.5030000000,42.2740687228
0.5040000000,42.2792249375
0.5050000000,42.2843719077
0.5060000000,42.2895096683
0.5070000000,42.2946382539
0.5080000000,42.2997576991
0.5090000000,42.3048680381
0.5100000000,42.3099693050
0.5110000000,42.3150615337
0.5120000000,42.3201447580
0.5130000000,42.3252190113
0.5140000000,42.3302843269
0.5150000000,42.3353407380
0.5160000000,42.3403882776
0.5170000000,42.3454269783
0.5180000000,42.3504568728
0.5190000000,42.3554779933
0.5200000000,42.3604903722
0.5210000000,42.3654940414
0.5220000000,42.3704890327
0.5230000000,42.3754753779
0.5240000000,42.3804531084
0.5250000000,42.3854222554
0.5260000000,42.3903828502
0.5270000000,42.3953349236
0.5280000000,42.4002785064
0.5290000000,42.4052136294
0.5300000000,42.4101403228
0.5310000000,42.4150586169
0.5320000000,42.4199685420
0.5330000000,42.4248701278
0.5340000000,42.4297634042
0.5350000000,42.4346484008
0.5360000000,42.4395251469
0.5370000000,42.4443936720
0.5380000000,42.4492540052
0.5390000000,42.4541061753
0.5400000000,42.4589502112
0.5410000000,42.4637861415
0.5420000000,42.4686139948
0.5430000000,42.4734337994
0.5440000000,42.4782455835
0.5450000000,42.4830493750
0.5460000000,42.4878452020
0.5470000000,42.4926330921
0.5480000000,42.4974130729
0.5490000000,42.5021851718
0.5500000000,42.5069494162
0.5510000000,42.5117058331
0.5520000000,42.5164544497
0.5530000000,42.5211952927
0.5540000000,42.5259283889
0.5550000000,42.5306537648
0.5560000000,42.5353714468
0.5570000000,42.5400814613
0.5580000000,42.5447838345
0.5590000000,42.5494785923
0.5600000000,42.5541657606
0.5610000000,42.5588453651
0.5620000000,42.5635174316
0.5630000000,42.5681819854
0.5640000000,42.5728390519
0.5650000000,42.5774886563
0.5660000000,42.5821308237
0.5670000000,42.5867655790
0.5680000000,42.5913929472
0.5690000000,42.5960129528
0.5700000000,42.6006256204
0.5710000000,42.6052309745
0.5720000000,42.6098290394
0.5730000000,42.6144198393
