# Descripiton: Distribuicao de Modulo de Distancia
# Domain: z in [0, 10]
# Units: z [adm.], mu [mag] 
# z,mu
0.1440000000,39.0222303956
0.1450000000,39.0377162754
0.1460000000,39.0530983688
0.1470000000,39.0683780868
0.1480000000,39.0835568116
0.1490000000,39.0986358977
0.1500000000,39.1136166724
0.1510000000,39.1285004364
0.1520000000,39.1432884647
0.1530000000,39.1579820075
0.1540000000,39.1725822901
0.1550000000,39.1870905145
0.1560000000,39.2015078593
0.1570000000,39.2158354805
0.1580000000,39.2300745121
0.1590000000,39.2442260668
0.1600000000,39.2582912362
0.1610000000,39.2722710915
0.1620000000,39.2861666843
0.1630000000,39.2999790465
0.1640000000,39.3137091912
0.1650000000,39.3273581131
0.1660000000,39.3409267886
0.1670000000,39.3544161769
0.1680000000,39.3678272198
0.1690000000,39.3811608425
0.1700000000,39.3944179536
0.1710000000,39.4075994460
0.1720000000,39.4207061967
0.1730000000,39.4337390678
0.1740000000,39.4466989063
0.1750000000,39.4595865446
0.1760000000,39.4724028011
0.1770000000,39.4851484800
0.1780000000,39.4978243722
0.1790000000,39.5104312552
0.1800000000,39.5229698935
0.1810000000,39.5354410390
0.1820000000,39.5478454310
0.1830000000,39.5601837969
0.1840000000,39.5724568521
0.1850000000,39.5846653002
0.1860000000,39.5968098338
0.1870000000,39.6088911341
0.1880000000,39.6209098715
0.1890000000,39.6328667058
0.1900000000,39.6447622861
0.1910000000,39.6565972518
0.1920000000,39.6683722317
0.1930000000,39.6800878452
0.1940000000,39.6917447020
0.1950000000,39.7033434025
0.1960000000,39.7148845377
0.1970000000,39.7263686896
0.1980000000,39.7377964317
0.1990000000,39.7491683285
0.2000000000,39.7604849361
0.2010000000,39.7717468023
0.2020000000,39.7829544668
0.2030000000,39.7941084614
0.2040000000,39.8052093097
0.2050000000,39.8162575282
0.2060000000,39.8272536253
0.2070000000,39.8381981024
0.2080000000,39.8490914536
0.2090000000,39.8599341656
0.2100000000,39.8707267187
0.2110000000,39.8814695858
0.2120000000,39.8921632335
0.2130000000,39.9028081215
0.2140000000,39.9134047034
0.2150000000,39.9239534262
0.2160000000,39.9344547307
0.2170000000,39.9449090519
0.2180000000,39.9553168183
0.2190000000,39.9656784530
0.2200000000,39.9759943730
0.2210000000,39.9862649898
0.2220000000,39.9964907094
0.2230000000,40.0066719322
0.2240000000,40.0168090532
0.2250000000,40.0269024622
0.2260000000,40.0369525440
0.2270000000,40.0469596779
0.2280000000,40.0569242385
0.2290000000,40.0668465955
0.2300000000,40.0767271137
0.2310000000,40.0865661531
0.2320000000,40.0963640692
0.2330000000,40.1061212128
0.2340000000,40.1158379302
0.2350000000,40.1255145633
0.2360000000,40.1351514497
0.2370000000,40.1447489227
0.2380000000,40.1543073114
0.2390000000,40.1638269406
